unit_shortName,unit_fullName,unit_vocab,unit_class,,,,,,,,,,,,
,Ash-free dry weight biomass of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere per unit area of the bed,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL03,Biological_Abundance_Biomass,,,,,,,,,,,,
,Ash-free dry weight biomass of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL07 ,Biological_Abundance_Biomass,,,,,,,,,,,,
,Biovolume (calculated) of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere per unit volume of the water body by calculation ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,using the HELCOME COMBINE guidelines,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL14,Biological_Abundance_Biomass,,,,,,,,,,,,
,Count (breeding pairs) of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SOVO0001,Biological_Abundance_Biomass,,,,,,,,,,,,
,Count (January) {midwinter count} of biological entity ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SOVO0004,Biological_Abundance_Biomass,,,,,,,,,,,,
,Coverage (HELCOM COMBINE) of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere on the bed,http://vocab.nerc.ac.uk/collection/P01/current/HELCCVRG,Biological_Abundance_Biomass,,,,,,,,,,,,
,Coverage (in assayed sample) of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL10,Biological_Abundance_Biomass,,,,,,,,,,,,
,Dry weight biomass (in assayed sample) of biological entity ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,specified elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01,Biological_Abundance_Biomass,,,,,,,,,,,,
,Dry weight biomass of biological entity specified elsewhere ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,per unit area of the bed,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL08,Biological_Abundance_Biomass,,,,,,,,,,,,
,Dry weight biomass of biological entity specified elsewhere ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL09,Biological_Abundance_Biomass,,,,,,,,,,,,
,HELCOM COMBINE guidelines version used in calculation,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL16,Biological_Abundance_Biomass,,,,,,,,,,,,
,Maximum count (seasonal) of biological entity specified ,,Biological_Abundance_Biomass,,,,,,,,,,,,
,elsewhere,http://vocab.nerc.ac.uk/collection/P01/current/SOVO0003,Biological_Abundance_Biomass,,,,,,,,,,,,
