taxon,scientific_name,NCBI_rank,NCBItaxID,NCBItax_parentID
uncultured_bacterium,uncultured bacterium,species,77133,0
uncultured_archaeon,uncultured archaeon,species,115547,0
uncultured_cyanobacterium,uncultured cyanobacterium,species,1211,0
uncultured_prokaryote,uncultured prokaryote,species,198431,0
uncultured_fungus,uncultured fungus,species,175245,0
uncultured_eukaryote,uncultured eukaryote,species,100272,0
not collected,unclassified sequences,species,12908,0
synthetic_metagenome,synthetic metagenome,species,1235509,408169
organismal_metagenomes,organismal metagenomes,species,410656,408169
metagenome,metagenome,species,256318,408169
ecological_metagenomes,ecological metagenomes,species,410657,408169
